ID,X,Y,R,G,B
1,0,0,92,106,79
2,1,0,87,108,79
3,2,0,76,108,78
4,3,0,70,105,72
5,4,0,75,107,73
6,5,0,72,103,71
7,6,0,75,103,69
8,7,0,80,108,72
9,8,0,79,106,71
10,9,0,76,107,74
11,10,0,73,104,71
12,11,0,79,107,72
13,12,0,78,104,70
14,13,0,75,104,69
15,14,0,77,105,69
16,15,0,77,106,68
17,16,0,78,109,73
18,17,0,78,110,76
19,18,0,75,107,72
20,19,0,75,104,69
21,20,0,78,103,63
22,21,0,74,105,65
23,22,0,69,99,60
24,23,0,70,101,62
25,24,0,72,104,65
26,25,0,69,100,63
27,26,0,67,97,61
28,27,0,70,101,68
29,28,0,71,104,73
30,29,0,71,102,68
31,30,0,77,107,68
32,31,0,77,107,68
33,32,0,77,105,58
34,33,0,85,110,66
35,34,0,82,106,69
36,35,0,73,105,69
37,36,0,72,103,65
38,37,0,75,104,66
39,38,0,79,106,68
40,39,0,92,115,81
41,40,0,88,113,65
42,41,0,94,116,68
43,42,0,94,116,71
44,43,0,89,112,67
45,44,0,94,118,78
46,45,0,91,113,66
47,46,0,87,110,64
48,47,0,89,112,69
49,48,0,91,112,68
50,49,0,89,115,76
51,50,0,87,113,77
52,51,0,85,112,70
53,52,0,81,107,65
54,53,0,79,103,61
55,54,0,81,105,63
56,55,0,80,105,60
57,56,0,81,107,60
58,57,0,77,107,62
59,58,0,76,104,63
60,59,0,72,103,62
61,60,0,73,101,59
62,61,0,77,105,59
63,62,0,82,106,60
64,63,0,81,106,60
65,64,0,79,102,52
66,65,0,76,100,56
67,66,0,76,100,55
68,67,0,76,99,51
69,68,0,75,99,46
70,69,0,74,99,50
71,70,0,70,97,55
72,71,0,70,95,51
73,72,0,72,95,49
74,73,0,67,93,51
75,74,0,64,94,55
76,75,0,65,97,59
77,76,0,65,99,59
78,77,0,63,96,58
79,78,0,62,96,58
80,79,0,62,98,62
81,80,0,62,102,68
82,81,0,61,101,68
83,82,0,60,100,68
84,83,0,61,99,68
85,84,0,59,99,66
86,85,0,64,103,63
87,86,0,63,103,67
88,87,0,60,102,68
89,88,0,59,98,61
90,89,0,64,100,63
91,90,0,67,106,72
92,91,0,64,101,70
93,92,0,64,98,69
94,93,0,64,94,67
95,94,0,66,94,61
96,95,0,64,93,60
97,96,0,63,93,60
98,97,0,69,98,64
99,98,0,76,98,63
100,99,0,77,90,67
101,0,1,101,120,88
102,1,1,100,117,82
103,2,1,101,120,81
104,3,1,97,120,81
105,4,1,98,118,78
106,5,1,97,116,75
107,6,1,99,116,70
108,7,1,99,117,70
109,8,1,99,116,71
110,9,1,99,121,81
111,10,1,95,124,86
112,11,1,96,124,84
113,12,1,101,117,78
114,13,1,97,116,74
115,14,1,98,119,77
116,15,1,97,115,70
117,16,1,94,116,73
118,17,1,94,118,76
119,18,1,100,120,76
120,19,1,99,121,74
121,20,1,102,123,77
122,21,1,101,124,78
123,22,1,99,121,74
124,23,1,99,118,69
125,24,1,96,117,71
126,25,1,92,116,72
127,26,1,90,114,70
128,27,1,92,114,67
129,28,1,92,114,70
130,29,1,90,111,68
131,30,1,96,118,73
132,31,1,100,120,72
133,32,1,94,116,69
134,33,1,92,115,73
135,34,1,88,113,73
136,35,1,93,116,75
137,36,1,93,115,73
138,37,1,91,113,71
139,38,1,93,112,68
140,39,1,101,116,76
141,40,1,100,117,73
142,41,1,98,118,74
143,42,1,96,119,77
144,43,1,95,117,77
145,44,1,95,119,78
146,45,1,92,116,76
147,46,1,91,117,79
148,47,1,96,121,80
149,48,1,97,123,81
150,49,1,98,122,79
151,50,1,98,121,80
152,51,1,95,120,84
153,52,1,93,118,79
154,53,1,90,115,77
155,54,1,83,112,81
156,55,1,87,117,81
157,56,1,96,121,79
158,57,1,100,123,75
159,58,1,98,119,67
160,59,1,94,117,69
161,60,1,89,116,69
162,61,1,92,117,66
163,62,1,93,117,68
164,63,1,89,115,69
165,64,1,87,114,67
166,65,1,86,112,66
167,66,1,87,111,64
168,67,1,90,113,65
169,68,1,89,111,61
170,69,1,89,112,66
171,70,1,90,112,65
172,71,1,88,110,64
173,72,1,84,108,67
174,73,1,84,108,65
175,74,1,84,108,64
176,75,1,85,109,64
177,76,1,85,108,64
178,77,1,84,108,64
179,78,1,82,107,66
180,79,1,81,109,70
181,80,1,84,113,73
182,81,1,86,114,73
183,82,1,81,110,70
184,83,1,87,113,70
185,84,1,84,114,73
186,85,1,83,115,77
187,86,1,82,117,86
188,87,1,79,115,85
189,88,1,79,114,81
190,89,1,82,115,80
191,90,1,85,118,86
